Data,IP Sorgente,IP Destinatario,TCP Sorgente,TCP Destinatario,Host
2024-09-13 10:53:03,172.24.46.64,20.189.173.1,58918,443,Unknown
2024-09-13 10:53:03,20.189.173.1,172.24.46.64,443,58918,Unknown
2024-09-13 10:53:03,172.24.46.64,68.232.34.200,41510,443,Unknown
2024-09-13 10:53:03,172.24.46.64,68.232.34.200,41590,443,Unknown
2024-09-13 10:53:03,172.24.46.64,68.232.34.200,41548,443,Unknown
2024-09-13 10:53:03,172.24.46.64,68.232.34.200,41506,443,Unknown
2024-09-13 10:53:03,172.24.46.64,68.232.34.200,41534,443,Unknown
2024-09-13 10:53:03,172.24.46.64,68.232.34.200,41562,443,Unknown
2024-09-13 10:53:03,172.24.46.64,68.232.34.200,41574,443,Unknown
2024-09-13 10:53:03,172.24.46.64,68.232.34.200,41526,443,Unknown
2024-09-13 10:53:03,68.232.34.200,172.24.46.64,443,41534,Unknown
2024-09-13 10:53:03,68.232.34.200,172.24.46.64,443,41548,Unknown
2024-09-13 10:53:03,68.232.34.200,172.24.46.64,443,41506,Unknown
2024-09-13 10:53:03,68.232.34.200,172.24.46.64,443,41590,Unknown
2024-09-13 10:53:03,68.232.34.200,172.24.46.64,443,41510,Unknown
2024-09-13 10:53:03,68.232.34.200,172.24.46.64,443,41574,Unknown
2024-09-13 10:53:03,68.232.34.200,172.24.46.64,443,41526,Unknown
2024-09-13 10:53:03,68.232.34.200,172.24.46.64,443,41562,Unknown
2024-09-13 10:53:04,172.24.46.64,20.189.173.1,58918,443,Unknown
2024-09-13 10:53:04,20.189.173.1,172.24.46.64,443,58918,Unknown
2024-09-13 10:53:05,172.24.46.64,20.189.173.1,58918,443,Unknown
2024-09-13 10:53:05,20.189.173.1,172.24.46.64,443,58918,Unknown
2024-09-13 10:53:06,172.24.46.64,20.189.173.1,58918,443,Unknown
2024-09-13 10:53:06,20.189.173.1,172.24.46.64,443,58918,Unknown
2024-09-13 10:53:06,20.189.173.1,172.24.46.64,443,58918,Unknown
2024-09-13 10:53:06,172.24.46.64,20.189.173.1,58918,443,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,52218,443,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,52218,443,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,52218,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,52218,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,52218,443,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39094,443,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39094,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39094,443,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39094,443,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39094,443,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39094,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39094,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39094,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39094,443,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39094,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39094,443,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39094,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39094,443,Unknown
2024-09-13 10:53:07,104.18.32.47,172.24.46.64,443,39094,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39094,443,Unknown
2024-09-13 10:53:07,172.24.46.64,104.18.32.47,39094,443,Unknown
